Conditions,Outcome Measures
Depressive Symptoms|Generalized Anxiety,Change in Depressive symptoms measured by Patient Health Questionnaire-9|Change in Anxiety symptoms measured by Generalized Anxiety Disorder-7|Proportion of subjects with Significant Depression|Proportion of subjects with Significant Anxiety
Depressive Symptoms|Metacognitive Variables,Patient Health Questionnaire-9 (PHQ-9)|Cognitive-Attentional Syndrome-1 (CAS-1)
Dermatitis Hand|Skin Abnormalities|Atopic Dermatitis|Atopic Dermatitis Eczema,Measure the change in transepidermal water loss and skin components after using hand sanitizer.|Measure the change in transepidermal water loss and skin components after hand washing with soap and water.|Individual reporting of hand dryness and environmental exposures
Deviant Sexual Fantasies,Impact of confinement on deviant fantasies|Intensity of deviant fantasies|Frequency of deviant fantasies|Paraphilic type impacted|Occurrence of sexual act|Access mode for deviant fantasies|Use of support during confinement|Evaluating anxiety/depression level
Diabetes Mellitus,Comparison of values between two devices
"Diabetes Mellitus, Type 1|Overweight and Obesity",Change in weight - Randomization 1|Change in weight - Randomization 2|Change in weight - Randomization 3|Change in HbA1C - Randomization 1|Change in HbA1C - Randomization 2|Change in HbA1C - Randomization 3|Difference in Percent Time Spent in Hypoglycemia - Randomization 1|Difference in Percent Time Spent in Hypoglycemia - Randomization 2|Difference in Percent Time Spent in Hypoglycemia - Randomization 3|Change in percent body fat - Randomization 1|Change in percent body fat - Randomization 2|Change in percent body fat - Randomization 3|Difference in time spent within target blood glucose range - Randomization 1|Difference in time spent within target blood glucose range - Randomization 2|Difference in time spent within target blood glucose range - Randomization 3
"Diabetes Mellitus, Type 2",Change in mean glaciated heamoglobin (HbA1c) at three months|Change in mean summary of diabetes self-care activities (SDSCA) score at three months|Change in mean WHO quality of life (WHOQoL BREF) score at three months|Change in mean fasting plasma glucose (FPG) at three months|Change in mean fasting blood glucose (FBG) at three months|Change in mean blood pressure (BP) at three months|Change in waist circumference (WC) at three months|Change in neck circumference (NC) at three months|Change in body weight (BW) at three months|Change in problem areas in diabetes (PAID-5) scores
"Diabetes Mellitus, Type 2|Chronic Disease",Change in use of CMS care coordination reimbursement code over 5 years|Change in glycemic control over 5 years|Change in healthcare utilization over 5 years|Change in patient satisfaction over 5 years|Change in status of received diabetes care over 5 years|Change in patient reported physical health over 5 years|Glycemic Control (HbA1c) for Telehealth visits for COVID-19 patients
"Diabetes Mellitus, Type 2|Covid19","Readmission rate (30-days)|Glycosylated Hemoglobin (HbA1c)|Diabetes Distress Scale|COVID-19 Patient Survey|Summary of Diabetes Self-Care Activities Survey|PROMIS Quality of Life Scale|Knowledge, Attitudes and Practice Toward COVID-19 Survey|Demographics Questionnaire"
"Diabetes Mellitus, Type 2|Hyperglycemia Stress|Hypoglycemia",Time in range|Time above range|Time below range|Average sensor glucose|Glucose variability|Level 1 hypoglycaemia|Level 2 hypoglycaemia
"Diabetes Mellitus, Type 2|Obesity, Morbid|Bariatric Surgery Candidate",Weight|Blood Sugar Control|Medical Adherence|Stress level|Physical Activity Level
Diabetes Mellitus|Coronavirus Infection|Metabolic Disease|Glucose Metabolism Disorders,"Compare glycated hemoglobin levels of patients with diabetes from the University Hospital of Nancy between the period preceding and following the lockdown related to the COVID-19 pandemic.|Describe the clinical and biological characteristics of patients with diabetes followed in routine care at the University Hospital of Nancy|Describe the change from baseline of biological and clinical parameters of patients with diabetes followed in routine care at the University Hospital of Nancy between the period preceding and following the lockdown.|Describe the proportion of patients who presented with one or more significant clinical event during the lockdown.|Describe the proportion of patients who forgot and/or discontinued one or several medication(s) during the lockdown.|Describe the proportion of patients who changed their lifestyle's habits during the lockdown.|Describe healthcare consumption of patients with diabetes during the lockdown.|Describe the proportion of patients who (1) was tested for SARS-CoV-2 by PCR, (2) developped COVID-19 confirmed by PCR and (3) was hospitalized due to the severity of COVID-19."
Diabetes Mellitus|Covid19,"A1c, CGM accuracy - mean absolute relative difference (MARD)|Incidence of CGM recorded hypoglycemia episodes|Incidence of CGM recorded hyperglycemia episodes|CGM accuracy in hypotensive patients|CGM accuracy in patients with hypoxemia|CGM accuracy in lactic acidosis.|Hospitalization length of stay|Number of CGM alarms and clinical result of these alarms|Patient satisfaction|Reducing staff exposure to patients with COVID19, prevalence of intensive care unit admission and/or in-hospital mortality among COVID-19 inpatients|prevalence of death among COVID-19 inpatients with and without diabetes|prevalence of intensive care unit admission among COVID-19 inpatients with and without diabetes|demographic and clinical characteristics (age,gender, comorbidity status) and death and/or intensive care unit admission during hospitalization|laboratory parameters (glycated hemoglobin, glucose at admission, renal and liver function markers, blood count, inflammatory markers, hemostasis) and death and/or intensive care unit admission during hospitalization|pharmacological therapies and death and/or intensive care unit admission during hospitalization|number of days of hospitalization in patients with and without diabetes"
"Diabetes Mellitus|Diabetes Mellitus, Type 2|Diabetes Mellitus, Type 1|COVID","Plasma glucose levels and left ventricular ejection fraction|Key secondary outcome: HbA1c, plasma glucose levels and left ventricular systolic function|Plasma glucose levels and strain analysis|Plasma glucose levels and mitral annular systolic velocity|Plasma glucose levels and left ventricular ejection fraction (sub-group analysis)|Plasma glucose levels and strain analysis (sub-group analysis)|Plasma glucose levels and mitral annular systolic velocity (sub-group analysis)|HbA1c, Plasma glucose levels and strain analysis|HbA1c, Plasma glucose levels and mitral annular systolic velocity|Diabetes status and whole blood coagulability and fibrinolysis|Diabetes status and change in whole blood coagulability and fibrinolysis during ICU stay|Prognostic value of TEG analysis|Prognostic value of cardiac function|Diabetes status and high-sensitivity troponins|Diabetes status and change high-sensitivity troponins"
Diabetes Mellitus|SARS-CoV-2,DASS (Depression)|DASS (Anxiety)|Eating Attitudes Test (EAT-26)
Diabetes|Covid-19,"Comparison of metabolic control (HbA1C) between diabetic patients followed by teleconsultation and patients with a conventional follow-up during Covid-19 infection.|HbA1C measured at 6 months post-telemedicine consultation for the TC group / post-cancellation of the face-to-face consultation for the P group.|Total number of patients inaccessible to teleconsultation and number of patients inaccessible by type of associated reason.|Number of complications: severe hypoglycemia, ketoacidosis, myocardial infarction, stroke, foot ulcer.|Results of patient satisfaction questionnaire.|Results of doctor satisfaction questionnaire.|Number of patients infected with Covid-19 (positive smear by RT-PCR for SARS-CoV-2 virus).|Number of conventional hospitalizations, in intensive care and deaths."
Diabetes|Covid-19|Infection,Time In Range (TIR) for blood glucose|Saved patient-personnel contacts related to blood glucose measurements.|Glucose variations during hospitalization|Blood glucose lowering interventions|CGM sensor performance|Course of hospital stay.
"Diabetes|Covid19|Isolation, Social",All-cause mortality|COVID-19 illness
Diabetes|Diabetes Mellitus,glycemic control|average blood glucose value per ward|average per patient
Diabetes|Heart Diseases|Diet Habit|Diet Modification|Healthy|Obesity|Metabolism|Microbial Colonization,Gut microbiome species richness|Blood Lipids|Glucose|Hunger and appetite assessment|Glucose and HbA1c|Dietary assessment|Anthropometry|Bowel Type and Habit|Perceived Energy Assessment|Covid-19 symptom assessment
Diabetes|Heart Diseases|Diet Habit|Diet Modification|Microbial Colonization|Healthy|Obesity|Metabolism,Gut microbiome species richness|Lipids|Glucose|Sleep|Physical activity|Hunger and appetite assessment|Glucose metabolism|Dietary assessment|Anthropometry|Metabolomics by NMR analysis|Covid-19 symptom assessment
"Diabetic Patient (Type 1,2, MODY, Secondary) or With Corticosteroid-induced Diabetes Following Initiation of Corticosteroid Treatment","Percentage of time spent in the range 70-180 mg / dl (TIR)|Mortality|Intensive Care Unit Transfers|Cardiovascular and infectious complications|Acute metabolic complications: keto acidosis, severe hypoglycaemia|Duration of hospitalization and treatments administered|Mean glucose|Time spent above glycaemia > 180mg/dl|Time spent bellow glycaemia < 70mg/dl"
Diagnoses Disease|Coronavirus,kappa value|sensitivity and specificity
Diagnoses Disease|Covid19,Patient provider experience survey score|Provider experience survey score|Use of personal protective improvement|Number of in-patient encounters with COVID patients as a measure of provider exposure to high risk illness
"Diagnostic Test, Routine|Coronavirus|Diagnoses Disease|Rapid Coronavirus Test",Device Accuracy - Positive and Negative Percentage|Device Accuracy - False positive and False negative percentage
Dialysis|Covid19,Anti-SARS-COV-2 IgG level|Proportion of people with detectable Anti-SARS-COV-2 IgG in study groups
Diaphragm Disease|Covid19,Tissue characteristics of the diaphragm|Movement of the diaphragm|Quantitative dynamic contrast enhanced imaging of the diaphragm|Correlation of movement and tissue characteristics of the diaphragm with measurements of maximum inspiratory and expiratory pressure|Correlation of movement and tissue characteristics of the diaphragm with clinical parameters
Diarrhea|Covid-19,"Measure of daily stool frequency for patients with COVID treated with Bismuth|Detection of salivary COVID virus by PCR, to measure time in days to clearance. COVID testing and bacterial microbiota response"
"Diet, Healthy",regeneration of taste
"Diet, Healthy|Body Weight|Time Restricted Feeding|Sleep|Cardiovascular Risk Factor|Motivation",Body weight status|Height status|Body mass index (BMI) status|Fat tissue mass status|Dietary intake status|Serum cholesterol status|Oxidized Low Density Lipoprotein (LDL)-cholesterol status|Serum HDL cholesterol status|Serum triglyceride status|Blood pressure status|Socio-economic and demographic status|Physical activity status|Sleep status|Motives for dietary pattern status
Dietary Diversity,Minimal Dietary Diversity (MDD) of more than 5 food groups in 24 hours|Height|Weight|Meal frequencies in past 24 hours|Blood hemoglobin in children at the start of study and 4 months later|Serum ferritin in children at the start of study and 4 months later|Consumption of sugar and processed foods|Food Aids received
Difficult Airway,time of success fiberoptic endotracheal intubation
Difficult Intubation|Difficult Airway Intubation,Agreement between virtual and in-person airway examinations|Agreement between virtual and in-person airway assessments in suspecting a difficult airway
Digestive Cancer|Gynaecological Cancer|Head and Neck Cancer,Symptoms of Covid after surgery
Disability Physical,Motor performance.|Perceived Exertion.
"Disease, Infectious|Respiratory Disease|Safety Issues|Effectiveness",COVID-19 disease diagnosis|COVID-19 disease symptoms severity|Adverse effects
"Disease, Viral|Cytokine Release Syndrome|TLRs",Changes in cytokines associated with SARS CoV-2 infection|Evaluation of cellular response|TLRs activation|KIR phenotype determination
Diseases of the Nervous System|Other Specified Viral Diseases,Acute new-onset neurological disease|Admission to a critical (intensive/high dependency) care unit|Time to discharge from hospital|Severity of stroke using National Institutes of Health Stroke Scale (NIHSS)|Glasgow Outcome Scale Extended|Modified Rankin Score|Montreal Cognitive Assessment (MoCA)|Development of new onset neurological sequelae|European QoL-5D (EQ-5D-3L) overall health utility quality of life score|Death
"Disseminated Intravascular Coagulation|Critical Illness|Sars-CoV2|Viral Infection|Coagulation Disorder, Blood|Covid19",ETP (AUC) without rhThrombomodulin (rhTM)|ETP (AUC) with rhThrombomodulin (rhTM)|ETP-ratio|ETP-Normalisation
Distance Education Learning Environment During COVID 19 Pandemic,assessment of distance education learning environment experiences among dental students enrolled in pediatric dentistry online course during COVID-19 crisis
Distance Learning-Online Learning|Traditional Classroom-Based Learning|Coronavirus Disease Social Distancing Measures|Nursing Students' Perception and Achievement,"Students' Learning Perception Questionnaire (SLPQ),|students' scholar achievement."
Distress Due to COVID-19,Resilience|Perceived stress|Depression symptoms|Post-traumatic growth
"Distress, Emotional|Emotional Dysfunction|Anxiety|Depression","Changes in Anxiety, Depression, and Distress|Changes in Worry|Changes in Rumination|Changes in Functional Impairment|Changes in Life Satisfaction|Semi-Weekly Measures of Treatment Changes in Anxiety|Semi-Weekly Measures of Treatment Changes in Depression|Semi-Weekly Measures of Treatment Changes in Depression Symptoms|Semi-Weekly Measures of Treatment Changes in Distress|Semi-Weekly Measures of Treatment Changes in Worry|Semi-Weekly Measures of Treatment Changes in Rumination|Semi-Weekly Measures of Treatment Changes in Metacognitive Regulation|Semi-Weekly Measures of Treatment Changes in Attentional Regulation|Satisfaction and Usability of Treatment"
Distress|PTSD|Anxiety|Depression|Trauma|Functional Disabilities|Common Mental Health Problems,Change in psychological distress|Change in posttraumatic stress disorder symptoms|Change in functional disability
Dry Eye Syndromes,time of face mask wear
Dry Mouth|Halitosis,Self-perceived dry mouth|Self-perceived halitosis
Dual-generation Intervention for Mothers With Depression,Change in Maternal Depression from pre-intervention to post-intervention - Beck Depression Inventory|Change in Maternal Emotion Regulation pre-intervention to post-intervention - Difficulties in Emotion Regulation Scale|3. Change in Parenting Stress from pre-intervention to post-intervention - Parenting Stress Index (Short form)|Change in the Child Behaviour Checklist from pre-intervention to post-intervention|Change in Parental Sensitivity from pre-intervention to post-intervention
Dysfunctional Breathing|Asthma in Children|Asthma,Prevalence of children with dysfunctional breathing defined as Nijmegen Questionnaire ( NQ) Score >= 23|Mask score|Asthma Control Questionnaire ( ACQ5)|Age|Sex|Standardised body mass index (BMI_SDS)|The reported use of rescue Beta2 agonist in puffs per week|Forced expiratory volume inthe first second in percent of expected Value. ( FEV1%)|Method of asthma diagnose
Dysfunctional Worry,• Covid-19-adapted version of the self-rated Generalized Anxiety Disorder Scale-7 (GAD-7)|Montgomery Åsberg Depression Rating Scale - Self report (MADRS-S)|Adapted Covid-19 version of the Work and Social Adjustment Scale (WSAS)|Insomnia Severity Index (ISI)|Adapted Swedish version of the CoRonavIruS Health Impact Survey (CRISIS)|Intolerance of uncertainty Scale (IUS)|Patient Satisfaction Questionnaire (PSQ)|Adverse events (AE)
Dysphagia|Covid19,Online survey
Dysphagia|Dysphonia|Subglottic Stenosis|Voice Disorders|Swallowing Disorder|Covid19|SARS (Severe Acute Respiratory Syndrome)|SARS Pneumonia|Quality of Life|SARS-CoV-2 Infection,"Primary endpoint is severity of dysphonia and dysphagia at the time of initial assessment t = day 0 (for ITU patients: Day 0 = 24 hours after extubation or decannulation).|The severity of dysphonia and/or dysphagia over an initial 12 month period (at t = 14 days, 1 month, 3 months, 6 months, 9 months, 12 months)|The severity of dysphonia and/or dysphagia at t = day 5, day 10, day 14, day 21 - For in-patients only.|Relationship between severity of dysphonia and/or dysphagia with grade of ARDS|Relationship between severity of dysphonia and/or dysphagia with length of intubation|Relationship between severity of dysphonia and/or dysphagia with duration of mechanical ventilation|Relationship between severity of dysphonia on quality of life using Voice Symptom Scale (VoiSS) questionnaire over time at day 0, 1 month and 9 months.|Relationship between severity of dysphagia on quality of life using Dysphagia Handicap Index (DHI) questionnaire over time at day 0, 1 month and 9 months"
Dyspnea,"Change from baseline in box jumps|Change from baseline in pull-up, push-up, and squat repetitions|Change from baseline in rating of perceived exertion|Change from baseline in heart rate|Change from baseline in dyspnea, Evaluate the effect of exercise rehabilitation on post-ICU dyspnea|Evaluate the effect of exercise rehabilitation on functional dyspnea|Evaluate the effect of stress rehabilitation on quality of life"
Early CPAP Ventilation in COVID-19 Patients,Death or need of intubation|30-day mortality
Eating Behavior|COVID-19,Change in weight (child)|Behaviour (child)|Behaviour (parents)|Physical Activity Levels (child)|Screen Time (child)|Sleep Duration (child)
Eating Disorder,"Change in occurrences of binge eating episodes using Eating Disorder Diagnostic Interview|Change in occurrences of compensatory weight control behavior using Eating Disorder Diagnostic Interview|Change in psychosocial impairment due to eating disorder symptoms using the Clinical Impairment Assessment Questionnaire|Change in reward region of the brain using fMRI|Change in suicidal ideation/attempts using the Patient Health Questionnaire version 9 (PHQ-9)|Change in negative affect using the Positive Affect and Negative Affect Scale-Revised|Change in body dissatisfaction using the Body Dissatisfaction Scale|Change in food addiction using the Yale Food Addiction Scale version 2.0|Change in valuation of thin ideal using the Thin Ideal Valuation Scale|Change in dietary restraint using the 10-item Dutch Restrained Eating Scale|Change in implicit associations of binge foods, thin models, and eating disorder behavior words"
Eating Disorders,Weight trajectory|Binge/purge episodes trajectory|Change in number of parents who accepted to participate in the study|Length of wait time|Change in Eating Disorder Questionnaire -parent version|Change in Parent Versus Eating Disorder Scale|Change in Nine Item Avoidant/Restrictive Food Intake disorder screen|Change in Pediatric Symptom Checklist-17|Change in Carers Needs Assessment Measure|Change in number of parents who remain in the study
Eating Disorders in Adolescence,Change in Body Appreciation Scale|Change in Engaged Living Scale|Change in Multidimensional Assessment of Interoceptive Awareness|Change in Social Contribution Scale|Change in Sociocultural Pressures Around Appearance|Change in Internalization of Media Appearance Ideals|Change in Ideal Body Stereotype Scale|Change in Self-Compassion Scale|Change in Group Belonging Scale|Change in Peer Influence on Appearance Concerns|Change in Dieting Behavior and Restraint|Change in Body Dissatisfaction Scale|Change in Objectified Body Consciousness Scale|Change in Self-Liking Scale/Self-Competence Scale|Change in Self-Efficacy Scale|Change in Belonging Scale|Change in Proactive Coping Scale|Change in Eating Attitudes Test 26|Change in School Engagement and Belonging|Change in School Grades and Attendance|Change in Physical Health Questionnaire|Change in Positive and Negative Affect Scale|Change in Patient Health Questionnaire A|Change in UCLA Loneliness Scale|Change in Humanitarian Egalitarian Scale|Change in Generalized Anxiety Disorder 7|Change in COVID-19 impact
Eating Disorders|COVID 19,Variation in eating disorders|Vision of the bodily aspect|Variation in physical activity|Identify the clinical factors modulating the psychological state during confinement
Eating Habits,Change in diet quality|Change in food insecurity|Change in intake of sodium|Change in intake of sugar|Change in intake of saturated fat|Change in intake of vegetables and fruits|Change in intake of dairy products|Change in physical activity|Change in sleep quality|Change in health-related quality of life
Ebola Virus Disease|Marburg Virus Disease,Safety of Ebola and Marburg vaccines assessed by clinical observation.|Safety of Ebola and Marburg vaccines assessed by change from baseline in levels of Complete Blood Count (CBC).|Safety of Ebola and Marburg vaccines assessed by change from baseline in levels of Creatinine.|Safety of Ebola and Marburg vaccines assessed by change from baseline in levels of Alanine Transaminase (ALT).|Safety of Ebola and Marburg vaccines assessed by adverse experiences.|Safety of Ebola and Marburg vaccines assessed by serious adverse experiences.|Evaluation of antibody response to cAd3-EBO-S and cAd3 Marburg vaccines|Collection of sufficient post-vaccination plasma to support further development of filovirus assays.
"Echocardiography, Stress|COVID-19|Hypertension, Pulmonary","• LA volume index|• LV telediastolic diameter|• LV telesystolic diameter|• LV posterior wall|• RA area|• RV basal dimensión|• RV mid cavity dimension;|• RV longitudinal dimension|• Distal, RV outflow tract dimension at the distal or pulmonic valve level|• Proximal RV outflow tract dimension at the proximal subvalvular level|• TAPSE|• RV free Wall strain|• Inferior cava vein PW Doppler|• E wave mitral|• A wave mitral|• E wave /A wave mitral|• E-wave at mitral annulus|• E-wave at mitral annulus / A-wave at the mitral annulus|• E wave/ E-wave at the mitral annulus|• E tricuspid (E)|• A tricuspid (A)|• E/A|• Systolic pulmonary artery pressure|• E-wave at the tricuspid annulus|• Mean pulmonary artery pressure|• Stroke volume|• Cardiac output"
Economic Burden,the effect of Covid -19 on the total costs of inpatient care|drop in the collective revenue generated in covid era
Edentulous Mouth,implant loss|crestal bone loss
Effectiveness,Visual analog scale of the European quality of life questionnaire|Physical performance.|Depressive symptoms|Symptoms of anxiety.|Body composition|Anthropometric measures|Dietary intake
"Efficacy, Self|Satisfaction, Patient|Telemedicine",Efficiency of the telephone consultation|Satisfaction of the telephone consultation
Elbow Fracture|Trauma,Faces Pain Scale - Revised (FPS-R)|Number of unplanned visits to the hospital or family physician|Is parental satisfaction higher when they are empowered to remove a splint at home and follow a physician directed treatment program?|Is there a difference in range of elbow joint motion between the two groups at 6 months post fracture?|• Is the difference in carrying angle from the contralateral arm at 6 months post fracture similar in children undergoing no clinical follow up or radiographic follow up compared to children undergoing routine follow-up as per the standard of care?
Electrolyte Imbalance,electrolytes disturbances in patients with COVID-19|To asses the relation of the electrolyte disturbances with the severity of COVID-19 infection.
Emergencies,"Describe the characteristics of patients admitted to reCOP units according to their virological status vis-à-vis COVID-19|Develop a predictive model of the risk of being COVID for patients admitted to the emergency room for dyspnea, Develop a predictive model of the risk of being COVID-19 for patients admitted to the emergency room for dyspnea|Describe the characteristics of patients admitted to reCOP units according to their virological status|Virological status|Mortality status, scan score|Optic nerve sheath diameter (ONSD), Average duration of sx prior to admission in hours|Type of management (surgical vs conservative)|Length of stays in Days|Level of care (ICU vs floor), Incidence of general surgical emergencies|Complication rate"
Emergency Department Staff During the COVID-19 Pandemic|Emergency Department Staff's Level of Stress,"Change of emergency department staff's level of stress during the covid19 pandemic, measured using the Chamoux et Simard visual analogic scale"
Emergency Medicine,rate of patients who gave up consulting in the emergency department
Emergency Medicine|Cardiopulmonary Arrest|Shock,Success rate of first intravascular access attempt|time to successful access|number of attempts to successful access|time to infusion|complication rates|ROSC
"Emergency Service, Hospital|General Surgery",Rates of emergency visits needing surgical consult|The ratio of severe presentations to non-severe presentations|The impact of age on ED attendance rates|Differences in ED surgical visits (in terms of capacity and severity) of surgical patients depending on the presentation and the co morbidity
Emotional Intelligence|Leadership|Health Personnel Attitude|Covid-19,Emotional Intelligence Competences Frontline Healthcare Professional need in their Leaders|EI Competence of Participants|Participant Behavioral Analysis
Emotional Problem|Anxiety Disorder of Childhood|Depressive Symptoms|Behavior Problem of Childhood and Adolescence|Mental Health Disorder,"The child's impact of mental health problems reported by the parent on the Strengths and Difficulties Questionnaire Impact Scale.|Emotional and behavioral problems|School attendance: proportion of school-days within the last 4 weeks, where the child is present (no illegal absence)|Child Health Utility instrument (CHU9D)|The Parental Stress Scale (PSS)"
Emotional Regulation|Affect,Distress|Emotion regulation|Distress (within-person change)|Maintenance of improvement in emotion regulation
Emotionnal Distress; COVID-19,anxiety
Encephalitis,Primary|Secondary
Encephalopathy|COVID,The percentage of patients who have developed encephalopathy
End Stage Kidney Disease,Change in COVID-19 IgG antibody (RLU)
End Stage Renal Disease,"Mortality|Anemia, Nutrition, Adequation of dialysis, total ultrafiltration, ultrafiltration rate,|Hospitalization|Vascular Access"
End Stage Renal Disease|Sars-CoV2,"Qualitative assessment of the effect of COVID-19 restrictions on patients' well-being, quality of life and physical activity and sedentary behaviours|Thematic analysis of qualitative interview exploring patients' experiences of telemedicine during the COVID-19 restrictions in the UK"
Endometriosis|Covid19,Covid 19 Anxiety levels in Endometriosis Patients
Endophthalmitis and Orbital Cellulitis,Combined Endophthalmitis and Orbital Cellulitis in patients with Novel Coronavirus Disease (COVID-19)
Endoscopy,Questionnaire
Endoscopy|Communication,Communication associated adverse events|Severe adverse events|Subjective Comfort of DECT communication|Endoscopic time
Epidemiology|Clinical|Nutritional-status|Immunologic Defect,Number of patients survival or death|Rate of recovery time|Viral shedding|Viral loads|Clinical symptoms and signs|Blood pressure|Assess the prevalence of severe forms among hospitalized patients with diabètes and COVID-19|Assess the prevalence of severe forms among hospitalized patients with cancer and COVID-19|Lipid Profiles|Assess the prevalence of nutrient intakes|Assess the prevalence of micronutrients deficiencies among hospitalized patients with COVID-19
Epidemiology|Sars-CoV2|COVID 19|Critical Care|Prognostic|Survival,"Variation of age between critically ill patients with SARS Cov2 admitted in ICU with non critically ill patients with SARS Cov2 admitted in ICU|Variation of medical history between critically ill patients with SARS Cov2 admitted in ICU with non critically ill patients with SARS Cov2 admitted in ICU|Variation of chronic drug used between critically ill patients with SARS Cov2 admitted in ICU with non critically ill patients with SARS Cov2 admitted in ICU|Variation of chest CT scan at admission, between critically ill patients with SARS Cov2 admitted in ICU with non critically ill patients with SARS Cov2 admitted in ICU|Variation of respiratory support at ICU admission, between critically ill patients with SARS Cov2 admitted in ICU with non critically ill patients with SARS Cov2 admitted in ICU"
Epigenetic Aging|Immunosenescence,Epigenetic Age|Thymus Regeneration|Safety and Tolerability|Immunosenescence
Epilepsy in Children|Mindfulness|Quality of Life,Feasibility of Making Mindfulness Matter© (M3) as a family treatment for children with epilepsy and their parents|Effect of M3 on Health Related Quality of Life of children with epilepsy|Effect of M3 on Health Related Quality of Life of parents|Does M3 have a positive effect on children's externalizing problems|Does M3 have a positive effect on children's internalizing problems|Does M3 have a positive effect on children's adaptive skills|Does M3 have a positive effect on children's executive function|Does M3 have a positive effect on children's severity of epilepsy|Does M3 have a positive effect on parents' depression|Does M3 have a positive effect on parents' anxiety|Does M3 have a positive effect on parents' stress
"Estimate, With the Contribution of Optimized MRI, the Prevalence of Neurological and Neurovascular Manifestations on Imaging in the Event of SARS-CoV-2","Percentage of patients included with at least one sign of neuromeningeal, neurosensory or neurovascular involvement on MRI imaging with the specific sequences used."
Evaluating the Effect of Social Media Usage in Providing Healthcare Services During the Period of 19 Covid Pandemics,to evaluate the effect of social media usage in medical practice during covid 19 epidemic
"Event, Life Change",Impact of Covid-19 on pharmacy Education study in Egypt
Exercise Capacity|Geriatric|Mask,Senior Fitness Test-Arm Curl|Senior Fitness Test-Chair Stand Up and Sitting|Senior Fitness Test-Chair Sit and Reach|Senior Fitness Test-Back Scratch|Senior Fitness Test-Eight Foot Up and Go|Senior Fitness Test-Two-Minute Step Test
Exercise Program,Physical Activity Scale for the Elderly|Nottingham Health Profile|Short Physical Performance Battery|Beck anxiety inventory|Beck depression inventory|Contentment With Life Scale
Exercise Test,Resting Heart Rate|Peak Heart Rate|Recovery Heart Rate|Resting systolic blood pressure|Recovery systolic blood pressure|Resting diastolic blood pressure|Recovery diastolic blood pressure|Peripheral oxygen saturation|VO2max|Dyspnoea Severity
Exercise|Detraining|Muscle Weakness|Muscle Atrophy,Body composition|Hip-/Leg extension strength|Metabolic Syndrome|Bone Mineral Density (BMD)|Menopausal symptoms|Back and joint pain
Exercise|Lung Transplantation,"Physical function-Walking, Change is being Assessed from baseline to 3 months|Physical function- Walking-Change is being Assessed from baseline to 6months|Physical function- Balance-Change is being Assessed from baseline to 3 months|Physical function- Balance-Change is being Assessed from baseline to 6 months|Physical function- Lower Body Strength-Change is being Assessed from baseline to 3 months.|Physical function- Lower Body Strength-Change is being Assessed from baseline to 6 months.|Physical function- Maximal exercise watts per Kg of bodyweight change is being assess from baseline to 3 months.|Physical function- respiratory related quality of life is being assess from baseline to 3 months.|Physical function- respiratory related quality of life is being assess from baseline to 6 months.|Physical Activity-Change is being Assessed from baseline to 3 months.|Physical Activity-Change is being Assessed from baseline to 6 months.|Blood Pressure Control-Change Assessed, from baseline to 3 months|Blood Pressure Control-Change Assessed, from baseline to 6 months"
Exercise|Nutritional Status|Sleep,Physical activity 2020|Physical activity 2021|Nutrition 2020|Nutrition 2021|Alcohol 2020|Alcohol 2021|Sleep 2020|Sleep 2021
Exploring Risk Assessment and Recovery From COVID-19 Infection in Hospitalised Patients,Physical|Health Related Quality of life|Psychological|risk stratification
Exposure During Pregnancy|Corona Virus Infection,Periodontal status|Quality of life of pregnants
Exposure to Herbicides,Change in urinary glyphosate concentrations during the organic diet period compared to the conventional diet period
Extracellular Fluid Alteration|Corona Virus Infection,ECW
Extreme Prematurity|Covid19,Number of ELGAN admissions during peak three months of COVID-19 compared to corresponding months in 2019|Regional difference in ELGAN admissions during peak three months of COVID-19 compared to corresponding months in 2019|Correlation between the level of lockdown restrictions and number of ELGAN admissions during peak three months of COVID-19 compared to corresponding months in 2019
Eye Trauma,Visual acuity (Snellen scale)|Visual acuity (Paarinaud) scale|Astigmatism (diopter)|Number of postoperative external consultations|Adverse events
Face Mask Squeeze,Generic health|Global well-be-ing|Headache Impact|Oral health|Dyspnea disability|Quantification of dyspnea|Level of Physical activity|Insomnia Symptom
Face-to-face Reconsultation to Emergency Room,Re-consultation|Telephone calls
Face-touching Behavior,Reduction of frequency of face-touching behavior|Reduction of percentage of participants touching their faces|Five Facet Mindfulness Questionnaire (FFMQ)|The Edinburgh Handedness Inventory (EHI)
Family Members|Post Intensive Care Unit Syndrome|Post Traumatic Stress Disorder,Symptoms of Post-Traumatic Stress Disorder (PTSD) initial|Symptoms of Anxiety and Depression initial|Surrogate Satisfaction with the Patient's ICU Care:|Symptoms of Post-Traumatic Stress Disorder (PTSD) final|Symptoms of Anxiety and Depression final|Interview initial|Interview final
Feeding and Eating Disorders,Comparison of the BMI (kg/m²) evolution between the two groups|Score comparison of the Dutch Eating Behavior Questionnaire
Femoral Neck Fractures|SARS-CoV 2,Mortality|Morbidity|Discharge
Fertility Issues|Vaccine Adverse Reaction,Delta in AMH levels
Fever,"To determine the diagnostic accuracy of HTD for the measurement of fever, using an equivalence comparison with the maximum temperature recorded with two routinely used temperature measurements (tympanic and forehead), margin ±0.2°C."
